name,nation,team,position,Cluster
Andreas Pereira,BRA,Fulham,MF,1
Kalvin Phillips,ENG,Ipswich Town,MF,0
Jordan Pickford,ENG,Everton,GK,2
Ethan Pinnock,JAM,Brentford,DF,3
Nick Pope,ENG,Newcastle Utd,GK,2
Pedro Porro,ESP,Tottenham,DF,3
Jarell Quansah,ENG,Liverpool,DF,0
Aaron Ramsdale,ENG,Southampton,GK,2
Jacob Ramsey,ENG,Aston Villa,"FW,MF",0
Marcus Rashford,ENG,Manchester Utd,"FW,MF",0
Marcus Rashford,ENG,Aston Villa,FW,0
David Raya,ESP,Arsenal,GK,2
Harrison Reed,ENG,Fulham,MF,0
Sergio Reguilón,ESP,Tottenham,DF,0
Manuel Ugarte Ribeiro,URU,Manchester Utd,MF,3
Declan Rice,ENG,Arsenal,MF,3
Chris Richards,USA,Crystal Palace,DF,3
Richarlison,BRA,Tottenham,FW,0
Andrew Robertson,SCO,Liverpool,DF,3
Antonee Robinson,USA,Fulham,DF,3
Guido Rodríguez,ARG,West Ham,MF,0
Mads Roerslev,DEN,Brentford,DF,0
Morgan Rogers,ENG,Aston Villa,"FW,MF",1
Cristian Romero,ARG,Tottenham,DF,3
Emile Smith Rowe,ENG,Fulham,MF,1
Georginio Rutter,FRA,Brighton,"MF,FW",1
Bukayo Saka,ENG,Arsenal,"FW,MF",1
Mohamed Salah,EGY,Liverpool,FW,1
William Saliba,FRA,Arsenal,DF,3
Jadon Sancho,ENG,Chelsea,FW,1
Ibrahim Sangaré,CIV,Nott'ham Forest,MF,0
Pablo Sarabia,ESP,Wolves,"MF,FW",0
Ismaila Sarr,SEN,Crystal Palace,"MF,FW",1
Pape Matar Sarr,SEN,Tottenham,MF,3
Oliver Scarles,ENG,West Ham,DF,0
Kevin Schade,GER,Brentford,FW,1
Jeffrey Schlupp,GHA,Crystal Palace,"MF,DF",0
Fabian Schär,SUI,Newcastle Utd,DF,3
Alex Scott,ENG,Bournemouth,MF,0
Matz Sels,BEL,Nott'ham Forest,GK,2
Nélson Semedo,POR,Wolves,DF,3
Antoine Semenyo,GHA,Bournemouth,FW,1
Marcos Senesi,ARG,Bournemouth,DF,0
Ryan Sessegnon,ENG,Fulham,"FW,DF",0
Luke Shaw,ENG,Manchester Utd,DF,0
Bernardo Silva,POR,Manchester City,"MF,FW",3
Jota Silva,POR,Nott'ham Forest,"FW,MF",0
Jahmai Simpson-Pusey,ENG,Manchester City,DF,0
Luis Sinisterra,COL,Bournemouth,"FW,MF",0
Oliver Skipp,ENG,Leicester City,MF,0
William Smallbone,IRL,Southampton,MF,0
Adam Smith,ENG,Bournemouth,DF,0
Dominic Solanke,ENG,Tottenham,FW,1
Carlos Soler,ESP,West Ham,"MF,FW",0
Ramón Sosa,PAR,Nott'ham Forest,"FW,MF",0
Boubakary Soumaré,FRA,Leicester City,MF,3
Tomáš Souček,CZE,West Ham,MF,3
Djed Spence,ENG,Tottenham,DF,3
Jason Steele,ENG,Brighton,GK,0
Jack Stephens,ENG,Southampton,DF,0
Raheem Sterling,ENG,Arsenal,"FW,MF",0
Ross Stewart,SCO,Southampton,FW,0
Jakub Stolarczyk,POL,Leicester City,GK,0
John Stones,ENG,Manchester City,"DF,MF",0
Yukinari Sugawara,JPN,Southampton,"DF,MF",0
Kamaldeen Sulemana,GHA,Southampton,"FW,MF",0
Crysencio Summerville,NED,West Ham,"FW,MF",0
Sammie Szmodics,IRL,Ipswich Town,"FW,MF",0
Dominik Szoboszlai,HUN,Liverpool,MF,1
José Sá,POR,Wolves,GK,2
Robert Sánchez,ESP,Chelsea,GK,2
Sávio,BRA,Manchester City,"FW,MF",1
James Tarkowski,ENG,Everton,DF,3
Marcus Tavernier,ENG,Bournemouth,"FW,MF",1
Charlie Taylor,ENG,Southampton,DF,0
Jack Taylor,IRL,Ipswich Town,MF,0
Mathys Tel,FRA,Tottenham,FW,0
Kenny Tete,NED,Fulham,DF,3
Thiago,BRA,Brentford,FW,0
Luke Thomas,ENG,Leicester City,DF,0
Youri Tielemans,BEL,Aston Villa,MF,3
Kieran Tierney,SCO,Arsenal,"DF,FW",0
Jurriën Timber,NED,Arsenal,DF,3
Jean-Clair Todibo,FRA,West Ham,DF,3
Harry Toffolo,ENG,Nott'ham Forest,DF,0
Sandro Tonali,ITA,Newcastle Utd,MF,3
Pau Torres,ESP,Aston Villa,DF,3
Conor Townsend,ENG,Ipswich Town,DF,0
Adama Traoré,ESP,Fulham,"FW,MF",1
Mark Travers,IRL,Bournemouth,GK,0
Kieran Trippier,ENG,Newcastle Utd,DF,3
Leandro Trossard,BEL,Arsenal,FW,1
Kostas Tsimikas,GRE,Liverpool,DF,0
Axel Tuanzebe,COD,Ipswich Town,DF,0
Destiny Udogie,ITA,Tottenham,DF,3
Lesley Ugochukwu,FRA,Southampton,MF,3
Hákon Rafn Valdimarsson,ISL,Brentford,GK,0
Jamie Vardy,ENG,Leicester City,FW,1
Renato Veiga,POR,Chelsea,"DF,MF",0
Joël Veltman,NED,Brighton,DF,3
Micky van de Ven,NED,Tottenham,DF,0
Bart Verbruggen,NED,Brighton,GK,2
Jannik Vestergaard,DEN,Leicester City,DF,0
Guglielmo Vicario,ITA,Tottenham,GK,2
Kyle Walker,ENG,Manchester City,DF,0
Kyle Walker-Peters,ENG,Southampton,DF,3
Christian Walton,ENG,Ipswich Town,GK,0
Aaron Wan-Bissaka,ENG,West Ham,DF,3
Danny Ward,WAL,Leicester City,GK,0
James Ward-Prowse,ENG,West Ham,MF,0
James Ward-Prowse,ENG,Nott'ham Forest,MF,0
Ollie Watkins,ENG,Aston Villa,FW,1
Adam Webster,ENG,Brighton,DF,0
Danny Welbeck,ENG,Brighton,FW,1
Welington,BRA,Southampton,"DF,MF",0
Timo Werner,GER,Tottenham,"FW,MF",0
Adam Wharton,ENG,Crystal Palace,MF,3
Ben White,ENG,Arsenal,DF,0
Mats Wieffer,NED,Brighton,"MF,DF",0
Neco Williams,WAL,Nott'ham Forest,DF,3
Willian,BRA,Fulham,"FW,MF",0
Joe Willock,ENG,Newcastle Utd,"MF,FW",0
Callum Wilson,ENG,Newcastle Utd,FW,0
Harry Wilson,WAL,Fulham,"FW,MF",0
Harry Winks,ENG,Leicester City,MF,3
Yoane Wissa,COD,Brentford,FW,1
Chris Wood,NZL,Nott'ham Forest,FW,1
Nathan Wood-Gordon,ENG,Southampton,DF,0
Luke Woolfenden,ENG,Ipswich Town,DF,0
Yehor Yarmoliuk,UKR,Brentford,MF,0
Ryan Yates,ENG,Nott'ham Forest,MF,3
Leny Yoro,FRA,Manchester Utd,DF,0
Ashley Young,ENG,Everton,"DF,FW",3
Illia Zabarnyi,UKR,Bournemouth,DF,3
Oleksandr Zinchenko,UKR,Arsenal,"DF,MF",0
Joshua Zirkzee,NED,Manchester Utd,"FW,MF",0
Edson Álvarez,MEX,West Ham,MF,3
Odsonne Édouard,FRA,Crystal Palace,"MF,FW",0
Martin Ødegaard,NOR,Arsenal,MF,1
Enes Ünal,TUR,Bournemouth,"FW,MF",0
